year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1927 / 28 [A]  (1st);Wings;http://oscars.yipitdata.com/films/Wings_(1927_film);Lucien Hubbard;Paramount , Famous Players-Lasky;http://en.wikipedia.org/wiki/Wings_(1927_film);True; Famous Players-Lasky ;   August 12, 1927 ( 1927-08-12 )       ;Original release: 111 minutes [ 2 ]  Restoration: 144 minutes [ 3 ]  reelage - 13;US$ 2 million [ 4 ];Harry Perry;United States;William A. Wellman;Paramount Pictures;E. Lloyd Sheldon  Uncredited: Lucien Hubbard;Silent film English intertitles;J.S. Zamecnik  ( uncredited );Lucien Hubbard  Adolph Zukor  Jesse L. Lasky  B. P. Schulberg  Otto Hermann Kahn [ 1 ] [ a ];Hope Loring  Louis D. Lighton;"Clara Bow  Charles ""Buddy"" Rogers  Richard Arlen  Gary Cooper";John Monk Saunders;Wings;Titles:  Julian Johnson;0;;;;
1927 / 28 [A]  (1st);The Racket;http://oscars.yipitdata.com/films/The_Racket_(1928_film);Howard Hughes;Paramount, Caddo;http://en.wikipedia.org/wiki/The_Racket_(1928_film);False; The Caddo Company ;   November 1, 1928 ( 1928-11-01 )       ;84 minutes;;Tony Gaudio;United States;Lewis Milestone;Paramount Pictures;Eddie Adams;silent film  English intertitles;;Howard Hughes;;Thomas Meighan  Marie Prevost  Louis Wolheim;;The Racket;Bartlett Cormack  Tom Miranda  Harry Behn  (uncredited);1;;;;
1927 / 28 [A]  (1st);Seventh Heaven;http://oscars.yipitdata.com/films/Seventh_Heaven_(1927_film);William Fox;Fox;http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film);False;;   May 6, 1927 ( 1927-05-06 )  (Los Angeles)  May 25, 1927 ( 1927-05-25 )  (New York City)  September 10, 1927 ( 1927-09-10 )  (New York City (re-release))     ;110 min;$1.3 million [ 1 ];Ernest Palmer  Joseph A. Valentine;United States;Frank Borzage;Fox Film Corporation;Harry H. Caldwell Katherine Hilliker;Silent film  English intertitles;;William Fox;Benjamin Glazer;Janet Gaynor  Charles Farrell  Ben Bard;;Seventh Heaven;Harry H. Caldwell (titles) Katherine Hilliker (uncredited)   Bernard Vorhaus (uncredited);2;Seventh Heaven  by Austin Strong;$2.5 million;;
1928 / 29  (2nd);The Broadway Melody;http://oscars.yipitdata.com/films/The_Broadway_Melody;Irving Thalberg & Lawrence Weingarten;Metro-Goldwyn-Mayer  [L];http://en.wikipedia.org/wiki/The_Broadway_Melody;True;;February 1, 1929 ( 1929-02-01 )  ( Grauman's Chinese Theatre ) [ 1 ];100 minutes;;John Arnold;United States;Harry Beaumont;Metro-Goldwyn-Mayer;Sam S. Zimbalist William LeVanway;English;Nacio Herb Brown  George M. Cohan  Willard Robison;Irving Thalberg  Lawrence Weingarten;;Charles King  Anita Page  Bessie Love  Jed Prouty;Edmund Goulding;The Broadway Melody;Sarah Y. Mason (continuity) Norman Houston (dialogue)  James Gleason  (dialogue) Earl Baldwin (titles);3;;$3 million [ 2 ];;
1928 / 29  (2nd);Alibi;http://oscars.yipitdata.com/films/Alibi_(1929_film);Roland West;United Artists , Feature Productions;http://en.wikipedia.org/wiki/Alibi_(1929_film);False;;April 20, 1929 ( 1929-04-20 );90 minutes;;Ray June;United States;Roland West;United Artists;;English;;Roland West;;Chester Morris  Mae Busch;;Alibi;Elaine Sterne Carrington;4;;;;
1928 / 29  (2nd);Hollywood Revue;http://oscars.yipitdata.com/films/The_Hollywood_Revue_of_1929;Harry Rapf;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;False;;June 20, 1929  (Los Angeles) [ 1 ];116 minutes;US$426,000 [ 2 ];John Arnold  Max Fabian  Irving G. Ries  John M. Nickolaus;United States;Charles Reisner;Metro-Goldwyn-Mayer;William S. Gray  Cameron K. Wood;English;"Gus Edwards  Arthur Freed ("" Singin' in the Rain "")  Nacio Herb Brown (""Singin' in the Rain"")";Irving Thalberg  Harry Rapf;;Conrad Nagel  Jack Benny  Joan Crawford  Marion Davies  Anita Page  Marie Dressler  William Haines  Buster Keaton  Stan Laurel  Oliver Hardy  Gus Edwards;;Hollywood Revue;Al Boasberg  Robert E. Hopkins  Joseph Farnham;5;;$1,561,000 [ 3 ];;
1928 / 29  (2nd);In Old Arizona;http://oscars.yipitdata.com/films/In_Old_Arizona;Winfield Sheehan [G];Fox;http://en.wikipedia.org/wiki/In_Old_Arizona;False;;Los Angeles : December 25, 1928 ( 1928-12-25 )  General release: January 20, 1929 ( 1929-01-20 );95 minutes;;Arthur Edeson  Alfred Hansen;United States;Irving Cummings  Raoul Walsh;Fox Film Corporation;Louis R. Loeffler;English;;Winfield Sheehan;;Warner Baxter  Edmund Lowe  Dorothy Burgess;;In Old Arizona;Tom Barry;6;;$1.3 million [ 1 ];;
1928 / 29  (2nd);The Patriot;http://oscars.yipitdata.com/films/The_Patriot_(1928_film);Ernst Lubitsch;Paramount;http://en.wikipedia.org/wiki/The_Patriot_(1928_film);False;;August 17, 1928 ( 1928-08-17 );113 minutes;$1 million;Bert Glennon;United States;Ernst Lubitsch;Paramount Pictures;Ernst Lubitsch;Silent film English sequences;Max Bergunker;;;Emil Jannings  Florence Vidor  Lewis Stone  Neil Hamilton;;The Patriot;Hanns Kräly  Ashley Dukes  (Play);7;;;;
1929 / 30 [B]  (3rd);All Quiet on the Western Front;http://oscars.yipitdata.com/films/All_Quiet_on_the_Western_Front_(1930_film);Carl Laemmle, Jr.;Universal;http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);True; Universal Studios ;   August 24, 1930 ( 1930-08-24 )  (US [ 1 ] )       ;152 minutes [ 1 ] 133 minutes (restored);$1.2 million [ 2 ];Arthur Edeson;United States;Lewis Milestone;Universal Pictures;Edgar Adams;English;David Broekman;Carl Laemmle, Jr.;;Lew Ayres  Louis Wolheim;;All Quiet on the Western Front;Maxwell Anderson  (adaptation & dialogue)  George Abbott  (screenplay)  Del Andrews  (adaptation)  C. Gardner Sullivan  (supervising story chief);8;All Quiet on the Western Front  by Erich Maria Remarque;$1.5 million (US) [ 3 ] $3,000,000 [ 4 ]  (rentals);;
1929 / 30 [B]  (3rd);The Big House;http://oscars.yipitdata.com/films/The_Big_House_(1930_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Big_House_(1930_film);False; A Cosmopolitan Production ;June 24, 1930 [ 1 ];87 minutes;;Harold Wenstrom;United States;George Hill;Metro-Goldwyn-Mayer;Blanche Sewell;English;no credit;no credit;Story and dialogue by Frances Marion Additional dialogue by Joe Farnham and Martin Flavin;Chester Morris  Wallace Beery  Lewis Stone  Robert Montgomery  Leila Hyams  George F. Marion  J. C. Nugent;;The Big House;;9;;;;
1929 / 30 [B]  (3rd);Disraeli;http://oscars.yipitdata.com/films/Disraeli_(1929_film);Jack L. Warner , Darryl F. Zanuck;Warner Bros.;http://en.wikipedia.org/wiki/Disraeli_(1929_film);False; Warner Bros. ;November 1, 1929 ( 1929-11-01 );90 minutes (1929 release) 87 minutes (1934 re-release);;Lee Garmes;United States;Alfred E. Green;Warner Bros.;;English;;;Julien Josephson;George Arliss  Doris Lloyd  David Torrence  Joan Bennett;;Disraeli;;10;;;;
1929 / 30 [B]  (3rd);The Divorcee;http://oscars.yipitdata.com/films/The_Divorcee;Robert Z. Leonard;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Divorcee;False;;   April 30, 1930 ( 1930-04-30 )  (United States)       ;84 mins.;;Norbert Brodine;United States;Robert Z. Leonard;Metro-Goldwyn-Mayer;Hugh Wynn;English;Jack Yellen  Milton Ager;Robert Z. Leonard;;Norma Shearer  Chester Morris;;The Divorcee;Nick Grinde  Zelda Sears  John Meehan;11;Ex-Wife  by Ursula Parrott;;;
1929 / 30 [B]  (3rd);The Love Parade;http://oscars.yipitdata.com/films/The_Love_Parade;Ernst Lubitsch;Paramount;http://en.wikipedia.org/wiki/The_Love_Parade;False; Paramount Pictures ;November 19, 1929 (US);107 minutes;;Victor Milner;United States;Ernst Lubitsch;;Merrill G. White;English;Songs:  Victor Schertzinger  (music)  Clifford Grey  (lyrics);Ernst Lubitsch;;Maurice Chevalier  Jeanette MacDonald  Lillian Roth;;The Love Parade;Guy Bolton  Ernest Vajda;12;Le Prince Consort (French play) by Jules Chancel  Leon Xanrof;;;
1930 / 31  (4th);Cimarron;http://oscars.yipitdata.com/films/Cimarron_(1931_film);William LeBaron;RKO Radio;http://en.wikipedia.org/wiki/Cimarron_(1931_film);True; RKO Radio Pictures ;   January 26, 1931 ( 1931-01-26 )  (Premiere- New York City ) [ 1 ]  February 9, 1931 ( 1931-02-09 )  ( US ) [ 1 ]      ;124 minutes [ 1 ];$1,433,000 [ 2 ];Edward Cronjager;United States;Wesley Ruggles;RKO Radio Pictures;William Hamilton;English;Max Steiner;William LeBaron  Louis Sarecky (assoc.) [ 1 ];;Richard Dix  Irene Dunne;;Cimarron;Howard Estabrook;13;the novel, Cimarron  by Edna Ferber;$1,383,000 [ 2 ];;
1930 / 31  (4th);East Lynne;http://oscars.yipitdata.com/films/East_Lynne_(1931_film);Winfield Sheehan [G];Fox;http://en.wikipedia.org/wiki/East_Lynne_(1931_film);False;;   February 20, 1931 ( 1931-02-20 )  (New York City) [ 2 ]  March 31, 1931 ( 1931-03-31 )  (U.S.)      ;102 minutes, 9,188 ft., or 10 reels [ 2 ];;John F. Seitz;United States;Frank Lloyd;Fox Film Corporation;Margaret Clancey [ 1 ];English; Richard Fall and Carli Elinor;;;Ann Harding  Conrad Nagel  Clive Brook  Cecilia Loftus;;East Lynne;Tom Barry  Bradley King;14;;;;
1930 / 31  (4th);The Front Page;http://oscars.yipitdata.com/films/The_Front_Page_(1931_film);Howard Hughes;United Artists, Caddo;http://en.wikipedia.org/wiki/The_Front_Page_(1931_film);False; The Caddo CompanyCaddo ;   April 4, 1931 ( 1931-04-04 )       ;101 minutes;;Glen MacWilliams;United States;Lewis Milestone;United Artists;W. Duncan Mansfield;English;;Lewis Milestone  Howard Hughes;;Adolphe Menjou  Pat O'Brien  Mary Brian  Edward Everett Horton;;The Front Page;Bartlett Cormack  Charles Lederer;15;;$700,000 [ 1 ];;
1930 / 31  (4th);Skippy;http://oscars.yipitdata.com/films/Skippy_(1931_film);Adolph Zukor;Paramount;http://en.wikipedia.org/wiki/Skippy_(1931_film);False;;   April 5, 1931 ( 1931-04-05 )       ;85 minutes;;Karl Struss;United States;Norman Taurog;Paramount Pictures;;English;John Leipold;Adolph Zukor  Jesse L. Lasky  B.P. Schulberg;;Jackie Cooper  Robert Coogan  Mitzi Green  Jackie Searl;;Skippy;Norman McLeod  Joseph L. Mankiewicz  Don Marquis  Sam Mintz;16;;;;
1930 / 31  (4th);Trader Horn;http://oscars.yipitdata.com/films/Trader_Horn_(1931_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Trader_Horn_(1931_film);False;;   May 23, 1931 ( 1931-05-23 )  (United States)       ;122 mins.;$1.3 million [ 1 ];Clyde De Vinna;United States;W.S. Van Dyke;Metro-Goldwyn-Mayer;Ben Lewis;English;;Irving Thalberg (uncredited);Richard Schayer;Harry Carey  Edwina Booth  Duncan Renaldo;;Trader Horn;Dale Van Every (adaptation)  John T. Neville (adaptation)  Cyril Hume (dialogue);17;Trader Horn  by Alfred Aloysius Horn;;;
1931 / 32  (5th);Grand Hotel;http://oscars.yipitdata.com/films/Grand_Hotel_(film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Grand_Hotel_(film);True;;   April 12, 1932 ( 1932-04-12 )  ( US )       ;112 minutes;$750,000 [ 1 ];William H. Daniels;United States;Edmund Goulding;Metro-Goldwyn-Mayer;Blanche Sewell;English;William Axt  Charles Maxwell;Irving Thalberg;;Greta Garbo  John Barrymore  Joan Crawford  Wallace Beery  Lionel Barrymore  Lewis Stone  Jean Hersholt;;Grand Hotel;William A. Drake;18;Grand Hotel (play) 1930 by William A. Drake and Menschen im Hotel 1929 by Vicki Baum;$2,250,000 [ 2 ];;
1931 / 32  (5th);Arrowsmith;http://oscars.yipitdata.com/films/Arrowsmith_(film);Samuel Goldwyn;Goldwyn, United Artists;http://en.wikipedia.org/wiki/Arrowsmith_(film);False; Samuel Goldwyn Productions ;December 26, 1931 ( 1931-12-26 );108 minutes;;Ray June;United States;John Ford;United Artists;Hugh Bennett;English;Alfred Newman;Samuel Goldwyn;;Ronald Colman  Helen Hayes  Richard Bennett;;Arrowsmith;Sidney Howard;19;;$1.25 million [ 1 ];;
1931 / 32  (5th);Bad Girl;http://oscars.yipitdata.com/films/Bad_Girl_(1931_film);Winfield Sheehan [G];Fox;http://en.wikipedia.org/wiki/Bad_Girl_(1931_film);False;;August 13, 1931;90 minutes;;Chester Lyons;United States;Frank Borzage;Fox Film Corporation;Margaret Clancey;English;;;;Sally Eilers  James Dunn  Minna Gombell;;Bad Girl;Edwin J. Burke;20;;$1.1 million [ 1 ];;
1931 / 32  (5th);The Champ;http://oscars.yipitdata.com/films/The_Champ_(1931_film);King Vidor;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Champ_(1931_film);False;;   November 9, 1931 ( 1931-11-09 )       ;87 minutes;;Gordon Avil;United States;King Vidor;Metro-Goldwyn-Mayer;Hugh Wynn;English;Irving Berlin;King Vidor  Harry Rapf  (uncredited)  Irving Thalberg  (uncredited);;Wallace Beery  Jackie Cooper  Irene Rich  Roscoe Ates;;The Champ;Frances Marion  Leonard Praskins;21;;$1.5 million [ 1 ];;
1931 / 32  (5th);Five Star Final;http://oscars.yipitdata.com/films/Five_Star_Final;Hal B. Wallis;Warner Bros., First National;http://en.wikipedia.org/wiki/Five_Star_Final;False; First National ;   September 26, 1931 ( 1931-09-26 )       ;89 minutes;;Sol Polito;United States;Mervyn LeRoy;Warner Bros.;Frank Ware;English;;Hal B. Wallis  (uncredited);;Edward G. Robinson;;Five Star Final;Louis Weitzenkorn  ( play ) Byron Morgan  Robert Lord;22;;;;
1931 / 32  (5th);One Hour with You;http://oscars.yipitdata.com/films/One_Hour_with_You;Ernst Lubitsch;Paramount;http://en.wikipedia.org/wiki/One_Hour_with_You;False; Paramount Pictures ;   March 22, 1932 ( 1932-03-22 )  ( US )       ;80 minutes;;Victor Milner;United States;George Cukor  Ernst Lubitsch;;William Shea;English;W. Franke Harling  Oscar Straus Rudolph G. Kopp  John Leipold;Ernst Lubitsch;;Maurice Chevalier  Jeanette MacDonald  Genevieve Tobin;;One Hour with You;Samson Raphaelson;23;Only a Dream (play) by Lothar Schmidt;;;
1931 / 32  (5th);Shanghai Express;http://oscars.yipitdata.com/films/Shanghai_Express_(film);Adolph Zukor;Paramount;http://en.wikipedia.org/wiki/Shanghai_Express_(film);False;;   February 2, 1932 ( 1932-02-02 )       ;80 minutes;;Lee Garmes  James Wong Howe;United States;Josef von Sternberg;Paramount Pictures;Frank Sullivan;English;W. Franke Harling Rudolph G. Kopp;Adolph Zukor;;Marlene Dietrich  Clive Brook  Anna May Wong;;Shanghai Express;Jules Furthman Harry Hervey (story);24;"""Sky Over China"" aka ""China Pass"" unpublished novel by Harry Hervey";$3.7 million;;
1931 / 32  (5th);The Smiling Lieutenant;http://oscars.yipitdata.com/films/The_Smiling_Lieutenant;Ernst Lubitsch;Paramount;http://en.wikipedia.org/wiki/The_Smiling_Lieutenant;False;;August 1, 1931 ( 1931-08-01 ) (US);89 minutes;;George J. Folsey;United States;Ernst Lubitsch;Paramount Pictures;Merrill G. White;English;Composer :  Oscar Straus  Musical Director :  Adolph Deutsch  (uncredited);Ernst Lubitsch;;Maurice Chevalier  Claudette Colbert  Miriam Hopkins;;The Smiling Lieutenant;Screenplay :  Samson Raphaelson  Ernest Vajda  Uncredited : Ernst Lubitsch  French dialogue : Jacques Bataille-Henri;25;Novel : Nux der Prinzgemahl (1905)  Hans Müller-Einigen  Operetta : Ein Walzertraum (1907) Leopold Jacobson Felix Dörmann;;;
1932 / 33  (6th);Cavalcade  [H];http://oscars.yipitdata.com/films/Cavalcade_(1933_film);Winfield Sheehan  [G];Fox;http://en.wikipedia.org/wiki/Cavalcade_(1933_film);True;;   April 15, 1933 ( 1933-04-15 )       ;110 minutes;$1,180,280;Ernest Palmer;United States;Frank Lloyd;Fox Film Corporation;Margaret Clancey;English;Peter Brunelli Louis De Francesco  Arthur Lange  J. S. Zamecnik;Frank Lloyd  Winfield R. Sheehan  (uncredited);Reginald Berkeley  Sonya Levien  (continuity);Diana Wynyard  Clive Brook  Una O'Connor  Herbert Mundin;;Cavalcade  [H];;26;play Cavalcade by  Noël Coward;$3.5 million [ 1 ];;
1932 / 33  (6th);42nd Street;http://oscars.yipitdata.com/films/42nd_Street_(film);Darryl F. Zanuck;Warner Bros.;http://en.wikipedia.org/wiki/42nd_Street_(film);False; Warner Bros. ;   March 11, 1933 ( 1933-03-11 )       ;89 minutes;$439,000 (est.);Sol Polito;United States;Lloyd Bacon  Busby Berkeley  (musical numbers);Warner Bros.;Thomas Pratt Frank Ware;English;Harry Warren  (music)  Al Dubin  (lyrics);Darryl F. Zanuck  (uncredited);;Warner Baxter  Ruby Keeler  Dick Powell  Ginger Rogers;;42nd Street;Rian James James Seymour Whitney Bolton (uncredited);27;42nd Street (1932 novel) by Bradford Ropes;$2,250,000 [ 1 ] [ 2 ];;
1932 / 33  (6th);A Farewell to Arms [H];http://oscars.yipitdata.com/films/A_Farewell_to_Arms_(1932_film);Adolph Zukor;Paramount;http://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film);False; Paramount Pictures ;   December 8, 1932 ( 1932-12-08 )  (United States)       ;85 minutes;$900,000 [ 1 ];Charles Lang;United States;Frank Borzage;Paramount Pictures;   Otho Lovering  George Nicholls, Jr.   ;English;Milan Roder;   Edward A. Blatt  Benjamin Glazer   ;   Benjamin Glazer  Oliver H.P. Garrett   ;   Helen Hayes  Gary Cooper  Adolphe Menjou   ;;A Farewell to Arms [H];;28;A Farewell to Arms  by Ernest Hemingway;;;
1932 / 33  (6th);I Am a Fugitive from a Chain Gang;http://oscars.yipitdata.com/films/I_Am_a_Fugitive_from_a_Chain_Gang;Hal B. Wallis;Warner Bros.;http://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;False; Warner Bros. Pictures, Inc. & The Vitaphone Corp. ;   November 10, 1932 ( 1932-11-10 )        [ 1 ];93 minutes;;Sol Polito;United States;Mervyn LeRoy;Warner Bros.  Associated Artists Productions (1956 re-release);William Holmes;English;no credit  Vitaphone Orchestra conducted by Leo F. Forbstein;no credit;Howard J. Green & Brown Holmes;Paul Muni  Glenda Farrell  Helen Vinson  Noel Francis;;I Am a Fugitive from a Chain Gang;;29;I Am a Fugitive from a Chain Gang by Robert E. Burns;;;
1932 / 33  (6th);Lady for a Day;http://oscars.yipitdata.com/films/Lady_for_a_Day;Frank Capra;Columbia;http://en.wikipedia.org/wiki/Lady_for_a_Day;False;;   September 13, 1933 ( 1933-09-13 )       ;96 minutes;$300,000;Joseph Walker;United States;Frank Capra;Columbia Pictures;Gene Havlick;English;Howard Jackson;Harry Cohn;;May Robson  Warren William  Guy Kibbee;Damon Runyon;Lady for a Day;Robert Riskin;30;;;;
1932 / 33  (6th);Little Women [H];http://oscars.yipitdata.com/films/Little_Women_(1933_film);Merian C. Cooper , Kenneth MacGowan;RKO Radio;http://en.wikipedia.org/wiki/Little_Women_(1933_film);False; RKO Radio Pictures ;   November 16, 1933 ( 1933-11-16 )  (United States)       ;117 mins.;$424,000 [ 1 ];Henry W. Gerrard;United States;George Cukor;RKO Radio Pictures;Jack Kitchin;English;Max Steiner;Merian C. Cooper;Victor Heerman  Sarah Y. Mason;Katharine Hepburn  Joan Bennett  Paul Lukas  Jean Parker  Frances Dee;;Little Women [H];;31;Little Women by Louisa May Alcott;$2,000,000 [ 1 ];;
1932 / 33  (6th);The Private Life of Henry VIII;http://oscars.yipitdata.com/films/The_Private_Life_of_Henry_VIII;Alexander Korda;United Artists, London Films;http://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;False; London Film Productions ;   17 August 1933 ( 1933-08-17 )       ;97 minutes;£65,000 [ 1 ];Georges Périnal;United Kingdom;Alexander Korda;United Artists;Stephen Harrison;English;Kurt Schröder;Alexander Korda Ludvico Toeplitz;;Charles Laughton  Robert Donat  Merle Oberon  Elsa Lanchester;;The Private Life of Henry VIII;Lajos Bíró  Arthur Wimperis;32;;£750,000 [ 1 ];;
1932 / 33  (6th);She Done Him Wrong;http://oscars.yipitdata.com/films/She_Done_Him_Wrong;William LeBaron;Paramount;http://en.wikipedia.org/wiki/She_Done_Him_Wrong;False; Paramount Pictures ;   January 27, 1933 ( 1933-01-27 )       ;66 minutes;$200,000 [ 1 ];Charles Lang;United States;Lowell Sherman  James Dugan (assistant);Paramount Pictures;Alexander Hall;English;John Leipold (uncredited);William LeBaron;Harvey F. Thew  John Bright;   Mae West  Cary Grant  Owen Moore  Gilbert Roland  Noah Beery, Sr.   ;;She Done Him Wrong;;33;Diamond Lil 1928 play by Mae West;$2.2 million [ 2 ];;
1932 / 33  (6th);Smilin' Through;http://oscars.yipitdata.com/films/Smilin%2527_Through_(1932_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film);False;;September 24, 1932 ( 1932-09-24 );98 minutes;$851,000 [ 1 ];Lee Garmes;United States;Sidney Franklin;Metro-Goldwyn-Mayer;Margaret Booth;English;William Axt Arthur A. Penn;Albert Lewin;;Norma Shearer  Fredric March  Leslie Howard;;Smilin' Through;Donald Ogden Stewart  Ernest Vajda;34;;$2,033,000 [ 1 ];;
1932 / 33  (6th);State Fair;http://oscars.yipitdata.com/films/State_Fair_(1933_film);Winfield Sheehan [G];Fox;http://en.wikipedia.org/wiki/State_Fair_(1933_film);False;;   February 10, 1933 ( 1933-02-10 )       ;97 minutes;$600,000 [ 1 ];Hal Mohr;;Henry King;Fox Film Corporation;Robert Bischoff;;Louis De Francesco;Henry King;;Janet Gaynor  Will Rogers  Lew Ayres;;State Fair;Sonya Levien  Paul Green;35;State Fair (1932 novel) by Phil Stong;$1.8 million [ 2 ];;
1934  (7th);It Happened One Night  [I];http://oscars.yipitdata.com/films/It_Happened_One_Night;Harry Cohn & Frank Capra;Columbia;http://en.wikipedia.org/wiki/It_Happened_One_Night;True;;   February 22, 1934 ( 1934-02-22 )       ;105 minutes [ 1 ];$325,000 [ 2 ];Joseph Walker;United States;Frank Capra;Columbia Pictures;Gene Havlick;English;Howard Jackson  Louis Silvers;Frank Capra  Harry Cohn;Robert Riskin;Clark Gable  Claudette Colbert;Samuel Hopkins Adams;It Happened One Night  [I];;36;Night Bus  by Samuel Hopkins Adams;$2,500,000 [ 3 ] $2,000,000 (theatrical rentals);;
1934  (7th);The Barretts of Wimpole Street [I];http://oscars.yipitdata.com/films/The_Barretts_of_Wimpole_Street_(1934_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);False;;September 21, 1934 ( 1934 );110 minutes;$820,000 [ 1 ];William H. Daniels;United States;Sidney Franklin;Metro-Goldwyn-Mayer;Margaret Booth;English;Herbert Stothart;Irving Thalberg;David Ogden Stewart  Ernest Vajda  Claudine West;Norma Shearer  Fredric March  Charles Laughton;;The Barretts of Wimpole Street [I];;37;The Barretts of Wimpole Street 1930 play by Rudolf Besier;$1,258,000 (Domestic earnings) [ 1 ] $1,085,000 (Foreign earnings) [ 1 ];;
1934  (7th);Cleopatra;http://oscars.yipitdata.com/films/Cleopatra_(1934_film);Cecil B. DeMille;Paramount;http://en.wikipedia.org/wiki/Cleopatra_(1934_film);False;;August 16, 1934 [ 1 ];100 minutes;;Victor Milner;United States;Cecil B. DeMille;Paramount Pictures;Anne Bauchens;English;Rudolph G. Kopp Milan Roder;Cecil B. DeMille;;Claudette Colbert  Warren William  Henry Wilcoxon;;Cleopatra;Waldemar Young Vincent Lawrence  Bartlett Cormack (adaptation: historical material);38;;;;
1934  (7th);Flirtation Walk;http://oscars.yipitdata.com/films/Flirtation_Walk;Jack L. Warner , Hal B. Wallis , Robert Lord;First National;http://en.wikipedia.org/wiki/Flirtation_Walk;False; First National Productions Corporation ;   November 28, 1934 ( 1934-11-28 )       ;97 minutes;;Sol Polito  George Barnes;United States;Frank Borzage  Bobby Connelly (Ensembles director);First National Picture, Incorporated  The Vitaphone Corporation;William Holmes  William Phelan (Assistant Editor);English;Allie Wrubel  Mort Dixon;Robert Lord;;Dick Powell  Ruby Keeler  Pat O'Brien;;Flirtation Walk;Delmer Daves  Lou Edelman (Original Story);39;;;;
1934  (7th);The Gay Divorcee;http://oscars.yipitdata.com/films/The_Gay_Divorcee;Pandro S. Berman;RKO Radio;http://en.wikipedia.org/wiki/The_Gay_Divorcee;False; RKO Radio Pictures ;   October 12, 1934 ( 1934-10-12 )       ;107 minutes;$520,000 [ 1 ];David Abel;United States;Mark Sandrich;RKO Radio Pictures;William Hamilton;English;Score:  Max Steiner  Songs: (see below );Pandro S. Berman;George Marion Jr.  Dorothy Yost Edward Kaufman;Fred Astaire  Ginger Rogers;;The Gay Divorcee;;40;Gay Divorce  by Dwight Taylor;$1,774,000 [ 1 ];;
1934  (7th);Here Comes the Navy;http://oscars.yipitdata.com/films/Here_Comes_the_Navy;Lou Edelman;Warner Bros.;http://en.wikipedia.org/wiki/Here_Comes_the_Navy;False; Warner Bros. Pictures, Inc. ;   July 21, 1934 ( 1934-07-21 )       ;87 minutes;;Arthur Edeson;United States;Lloyd Bacon;Warner Bros. The Vitaphone Corp.;George Amy;English;Charles A. Zimmerman;Louis Edelman;;James Cagney  Pat O'Brien  Gloria Stuart;;Here Comes the Navy;Earl Baldwin  Ben Markson;41;;;;
1934  (7th);The House of Rothschild [I];http://oscars.yipitdata.com/films/The_House_of_Rothschild;Darryl F. Zanuck , William Goetz , Raymond Griffith;20th Century , United Artists;http://en.wikipedia.org/wiki/The_House_of_Rothschild;False; Twentieth Century Pictures ;   April 7, 1934 ( 1934-04-07 )       ;88 minutes;;J. Peverell Marley;United States;Alfred L. Werker;United Artists;Barbara McLean Allen McNeil;English;Alfred Newman;William Goetz  Raymond Griffith  Darryl F. Zanuck;;George Arliss  Loretta Young  Boris Karloff;;The House of Rothschild [I];George Hembert Westley]] (playwright)  Nunnally Johnson (screenwriter);42;;;;
1934  (7th);Imitation of Life;http://oscars.yipitdata.com/films/Imitation_of_Life_(1934_film);John M. Stahl;Universal;http://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film);False; Universal Pictures ;   November 26, 1934 ( 1934-11-26 )  (USA)       ;111 minutes;;Merritt B. Gerstad;United States;John M. Stahl;Universal Pictures;   Philip Cahn  Maurice Wright   ;English;Heinz Roemheld;Carl Laemmle Jr.;William J. Hurlbut;   Claudette Colbert  Warren William  Rochelle Hudson   ;;Imitation of Life;;43;Imitation of Life 1933 novel by Fannie Hurst;;;
