year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1944 [D]  (17th);Gaslight;http://oscars.yipitdata.com/films/Gaslight_(1944_film);Arthur Hornblow, Jr.;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Gaslight_(1944_film);False;;   May 4, 1944 ( 1944-05-04 )       ;114 minutes;$2,068,000 [ 1 ];Joseph Ruttenberg;United States;George Cukor;Metro-Goldwyn-Mayer;Ralph E. Winters;English;Bronisław Kaper;Arthur Hornblow Jr.;John Van Druten  Walter Reisch  John L. Balderston;Charles Boyer  Ingrid Bergman  Joseph Cotten  Dame May Whitty  Angela Lansbury;;Gaslight;;142;the play Gas Light  by Patrick Hamilton;$4,613,000 [ 1 ];;
1944 [D]  (17th);Since You Went Away;http://oscars.yipitdata.com/films/Since_You_Went_Away;David O. Selznick;Selznick International, United Artists;http://en.wikipedia.org/wiki/Since_You_Went_Away;False; Selznick International Pictures ;   July 20, 1944 ( 1944-07-20 )  (USA)       ;172 minutes;$3,257,000 [ 2 ];Stanley Cortez  Lee Garmes;United States;John Cromwell;United Artists (1944, original)  MGM (2004, DVD);John D. Faure Arthur Fellows Wayland M. Hendry [ 1 ];English;Max Steiner;David O. Selznick;David O. Selznick;Claudette Colbert  Jennifer Jones  Joseph Cotten  Shirley Temple;;Since You Went Away;;143;Since You Went Away: Letters to a Soldier from His Wife 1943 novel by Margaret Buell Wilder;$7 million + [ 2 ];;
1944 [D]  (17th);Wilson;http://oscars.yipitdata.com/films/Wilson_(film);Darryl F. Zanuck;20th Century Fox;http://en.wikipedia.org/wiki/Wilson_(film);False;;   August 1, 1944 ( 1944-08-01 )       ;154 minutes;$2,995,000 [ 1 ];Leon Shamroy;United States;Henry King;Twentieth Century-Fox;Barbara McLean;English;Alfred Newman;Darryl F. Zanuck;;Charles Coburn  Alexander Knox  Geraldine Fitzgerald  Thomas Mitchell  Sir Cedric Hardwicke;;Wilson;Lamar Trotti;144;;$2,000,000 (rentals) [ 2 ];;
1945  (18th);The Lost Weekend;http://oscars.yipitdata.com/films/The_Lost_Weekend_(film);Charles Brackett;Paramount;http://en.wikipedia.org/wiki/The_Lost_Weekend_(film);True;;   November 16, 1945 ( 1945-11-16 )       ;99 minutes [ 1 ];$1.25 million;John F. Seitz;United States;Billy Wilder;Paramount Pictures;Doane Harrison;English;Miklós Rózsa;Charles Brackett;Charles Brackett Billy Wilder;Ray Milland  Jane Wyman;;The Lost Weekend;;145;The Lost Weekend  by Charles R. Jackson;$11,000,000 [ 2 ];;
1945  (18th);Anchors Aweigh;http://oscars.yipitdata.com/films/Anchors_Aweigh_(film);Joe Pasternak;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Anchors_Aweigh_(film);False; Metro-Goldwyn-Mayer ;   July 14, 1945 ( 1945-07-14 )       ;143 minutes;$2,580,000 [ 1 ];Charles P. Boyle;United States;George Sidney;Loew's Inc.;Adrienne Fazan;English;Georgie Stoll (musical direction)  Axel Stordahl (orchestrations)  Calvin Jackson (incidental music);Joe Pasternak;;Frank Sinatra  Kathryn Grayson  Gene Kelly;;Anchors Aweigh;Natalie Marcin (story) Isobel Lennart;146;;$7,475,000 [ 1 ] [ 2 ];;
1945  (18th);The Bells of St. Mary's;http://oscars.yipitdata.com/films/The_Bells_of_St._Mary%2527s;Leo McCarey;RKO Radio;http://en.wikipedia.org/wiki/The_Bells_of_St._Mary%27s;False; Rainbow Productions ;   December 6, 1945 ( 1945-12-06 )  (USA)       ;126 minutes;;George Barnes;United States;Leo McCarey;RKO Radio Pictures;Harry Marker;English;Robert Emmett Dolan;Leo McCarey;Dudley Nichols;   Bing Crosby  Ingrid Bergman   ;Leo McCarey;The Bells of St. Mary's;;147;;$21,333,333 (United States) [ 1 ];;
1945  (18th);Mildred Pierce;http://oscars.yipitdata.com/films/Mildred_Pierce_(film);Jerry Wald;Warner Bros.;http://en.wikipedia.org/wiki/Mildred_Pierce_(film);False;;   September 24, 1945 ( 1945-09-24 )  (United States)       ;111 minutes;$1,453,000;Ernest Haller;United States;Michael Curtiz;Warner Bros.;David Weisbart;English;Max Steiner;Jerry Wald;Ranald MacDougall;Joan Crawford  Jack Carson  Zachary Scott  Eve Arden  Ann Blyth;;Mildred Pierce;;148;Mildred Pierce  by James M. Cain;$5,638,000;;
1945  (18th);Spellbound;http://oscars.yipitdata.com/films/Spellbound_(1945_film);David O. Selznick;Selznick International, United Artists;http://en.wikipedia.org/wiki/Spellbound_(1945_film);False; Selznick International Pictures  Vanguard Films ;   December 28, 1945 ( 1945-12-28 )  (US)       ;111 minutes [ 1 ];US$1.5 million;George Barnes;United States;Alfred Hitchcock;United Artists;Hal C. Kern;;Miklós Rózsa;David O. Selznick;Angus MacPhail  Ben Hecht;Ingrid Bergman  Gregory Peck  Michael Chekhov  Leo G. Carroll  Rhonda Fleming;Hilary Saint George Saunders  Francis Beeding;Spellbound;;149;;US$6,387,000 (by 1947) [ 2 ];;
1946  (19th);The Best Years of Our Lives;http://oscars.yipitdata.com/films/The_Best_Years_of_Our_Lives;Samuel Goldwyn;RKO Radio;http://en.wikipedia.org/wiki/The_Best_Years_of_Our_Lives;True; Samuel Goldwyn Productions ;   November 21, 1946 ( 1946-11-21 )  (United States)       ;172 minutes;$2.1 million [ 1 ];Gregg Toland;United States;William Wyler;RKO Radio Pictures;Daniel Mandell;English;Hugo Friedhofer  Emil Newman;Samuel Goldwyn;Robert E. Sherwood;Myrna Loy  Fredric March  Dana Andrews  Teresa Wright  Virginia Mayo  Harold Russell;;The Best Years of Our Lives;;150;Glory for Me 1945 novella by MacKinlay Kantor;$23,650,000 [ 2 ];;
1946  (19th);Henry V;http://oscars.yipitdata.com/films/Henry_V_(1944_film);Laurence Olivier;Two Cities Films;http://en.wikipedia.org/wiki/Henry_V_(1944_film);False; Two Cities Films ;   22 November 1944 ( 1944-11-22 )       ;136 minutes [ 1 ];£475,708 (or $2 million) [ 2 ] [ 3 ];Jack Hildyard  Robert Krasker;United Kingdom;Laurence Olivier;Eagle-Lion Distributors Limited;Reginald Beck;English;William Walton;Filippo Del Giudice Laurence Olivier;;Laurence Olivier  Renée Asherson  Robert Newton  Leslie Banks;;Henry V;William Shakespeare  (Play) ,  Dallas Bower ,  Alan Dent , Laurence Olivier;151;;over $2 million [ 4 ];;
